period,sales,date,unemployment_rate
2020-01,946598.36927,2020-01-01,3.6
2020-02,883978.2147,2020-02-01,3.5
2020-03,869681.341,2020-03-01,4.4
2020-04,787201.68538,2020-04-01,14.8
2020-05,824121.24365,2020-05-01,13.2
2020-06,960167.17169,2020-06-01,11.0
2020-07,1138590.12323,2020-07-01,10.2
2020-08,1106653.51255,2020-08-01,8.4
2020-09,967663.54,2020-09-01,7.8
2020-10,890629.73265,2020-10-01,6.9
2020-11,831747.60286,2020-11-01,6.7
2020-12,945990.90612,2020-12-01,6.7
2021-01,964489.4266,2021-01-01,6.4
2021-02,899094.10347,2021-02-01,6.2
2021-03,886035.00516,2021-03-01,6.1
2021-04,818336.0891900001,2021-04-01,6.1
2021-05,870181.80595,2021-05-01,5.8
2021-06,1015246.14046,2021-06-01,5.9
2021-07,1121844.89724,2021-07-01,5.4
2021-08,1143117.91124,2021-08-01,5.1
2021-09,1009332.03142,2021-09-01,4.7
2021-10,906382.41195,2021-10-01,4.5
2021-11,861401.4006500001,2021-11-01,4.2
2021-12,922161.5364,2021-12-01,3.9
2022-01,1015968.139,2022-01-01,4.0
2022-02,917589.21154,2022-02-01,3.8
2022-03,912900.0808,2022-03-01,3.7
2022-04,854798.60022,2022-04-01,3.7
2022-05,929090.86189,2022-05-01,3.6
2022-06,1041318.99707,2022-06-01,3.6
2022-07,1167642.52424,2022-07-01,3.5
2022-08,1168878.8469500002,2022-08-01,3.6
2022-09,1021631.52213,2022-09-01,3.5
2022-10,891587.83245,2022-10-01,3.6
2022-11,876773.23853,2022-11-01,3.6
2022-12,983327.3534,2022-12-01,3.5
2023-01,976243.93483,2023-01-01,3.5
2023-02,878836.98627,2023-02-01,3.6
2023-03,919361.82737,2023-03-01,3.5
2023-04,842433.44379,2023-04-01,3.4
2023-05,896116.70885,2023-05-01,3.6
2023-06,986394.25098,2023-06-01,3.6
2023-07,1161768.32162,2023-07-01,3.5
2023-08,1177308.10214,2023-08-01,3.7
2023-09,1039429.32408,2023-09-01,3.8
2023-10,924196.22607,2023-10-01,3.9
2023-11,882745.45676,2023-11-01,3.7
2023-12,937925.50429,2023-12-01,3.8
2024-01,1031149.56522,2024-01-01,3.7
2024-02,909775.02846,2024-02-01,3.9
2024-03,891834.8286199999,2024-03-01,3.9
2024-04,858770.39128,2024-04-01,3.9
2024-05,941884.3594,2024-05-01,4.0
2024-06,1067645.90258,2024-06-01,4.1
2024-07,1193617.757,2024-07-01,4.2
2024-08,1182598.38548,2024-08-01,4.2
2024-09,1029212.11666,2024-09-01,4.1
2024-10,947705.94515,2024-10-01,4.1
2024-11,887388.12806,2024-11-01,4.2
2024-12,984563.08745,2024-12-01,4.1
2025-01,1087072.54252,2025-01-01,4.0
2025-02,962497.06117,2025-02-01,4.1
2025-03,922595.30777,2025-03-01,4.2
2025-04,885163.84555,2025-04-01,4.2
2025-05,938051.65073,2025-05-01,4.2
2025-06,1072080.43312,2025-06-01,4.1
2025-07,1221691.43965,2025-07-01,4.2
2025-08,1176869.36934,2025-08-01,4.3
2025-09,1034882.39269,2025-09-01,4.4
